# reference/runtime-manifest.tsv — runtime manifest for crewboss box runtime (issue #62)
# Historical inventory: reference/tests/fixtures/legacy-runtime/inventory.txt (June 2026 snapshot).
#
# Model (charter #60, phase P1.5):
#   REPO = canon, box (~/cbnet) = deploy artifact.
#   CI verifies this manifest against repo files so it never goes stale silently.
#   Doctor on box compares deployed files against this manifest.
#
# status values:
#   legacy          — retained prototype/test tooling; not installed as runtime
#   asset           — separately packaged UI/team source; not flat runtime files
#   canonical       — repo already has the file at repo_path with this sha256;
#                     CI gate: file must exist + sha must match (test 3 sha-lock)
#   pending-backport — box has the file; repo_path = planned canonical target
#                      (reference/runtime/ after #65 backport); sha = snapshot sha;
#                      CI does NOT verify the file (it doesn't exist at repo_path yet)
#
# Two-launchers decision (tech-lead 2026-06-11, reversible):
#   CANONICAL launcher = crewboss-launcher-gh.sh (GitHub-board, background-parallel,
#                        kill_switch at run/kill_switch; used in production)
#   LEGACY    launcher = reference/launcher/crewboss-launcher.sh (Arch-2 worktree+foreground
#                        reference; kill-file .crewboss-launcher.stop — see :23)
#   Launcher tests (reference/tests/launcher-*.test.sh) continue to run against the LEGACY
#   version until migration. DO NOT DELETE the legacy file — tests depend on it.
#
# marker-grep-gate: run-gov-gatefire.sh (canonical — backported by #65)
#   Behavioral gate discriminator for charter→main: fires a live jailed --agent session,
#   greps for 'crewboss BLOCK' marker in gate output to discriminate correct gate wiring.
#   Backported from box snapshot to reference/runtime/ by #65 (pkill-f → pid-file fix applied);
#   #70 extends the gate to *.css scenarios.
#
# repo_path	sha256	status	purpose
reference/runtime/board-gh.sh	afb7a0c854c66f499cd4396319c99d8f7347e5cea85d265a77cb50bccbd6b7f3	canonical	GitHub board adapter (issues+labels ↔ launcher state machine); R6; #89 CREWBOSS_CHARTER pass-through to launchable.sh; #87 adds route needs-rework, claim strips needs-rework, get state priority review>needs-rework; #92 adds review-leaves subcommand; #139 passes --require-composition when CB_MANIFEST is set; #974 require-composition only activates when CB_MANIFEST is an existing directory
reference/runtime/bridge.py	36b9cb3c62092fa20debe6e94e1929a06f661beab79cf8e487990ff6f5ecc551	canonical	In-jail CONNECT proxy bridge (proxy.sock → localhost:3128)
proto/provision/build-provision.sh	77856db9decefcb7b288d2007e5da4aa5f35c128e52840b30e92df96b7144de2	legacy	Assembles self-contained provision.sh by embedding runtime files as base64 tarball; CB_SRC=reference/runtime/ (#66)
reference/runtime/charter-leaf-prep.sh	2793c5b248356401d5a6f4fcd939b69254e621074e1c605f5b5cb74b8d5bf80f	canonical	Charter-aware leaf dispatch: clones, creates charter/C branch, sets leaf/$ID-$TS; box-only → reference/runtime/ via #65; #86 CB_REPO param; #155 freshness guard (ff-push or loud refusal if charter/C behind main)
reference/runtime/claude.kafel	c0856fcda3775bd12af8930925a1e927df2eaf15045e17156defa52f7f7076e0	canonical	Seccomp allowlist (kafel); box version adds getxattr/io_uring_enter/io_uring_setup/pkey_alloc/pkey_free vs proto/seccomp (drift); → #65
ui/server/crewboss-api.py	894cd8923420b474802c2146fccafc9cb76e5f9f8091ce6400e891bba8010a00	canonical	REST/SSE daemon API (board state, commands, kill_switch, run/kill_switch, team org-chart); #68 kill-switch pre-check for run action; #148 action=run builds env from run-env.sh (not os.environ) — full loop contract post-deploy-restart; #152 GET /api/state loop block (integrate/max_ticks/max_parallel/running); #265 blast_radius field for charter items; #270 model/accesses fields in role schema (save_role+get_role+build_team); #973 pagination loop in build_state() (all issues, not just first 100); #1183 plan_convergence_active field in board items + guard do_command approve; #1212 _compute_stuck helper + stuck field in charter board items; #1281 plan_convergence_active/approve-guard gated on plan_review_role!='' (role-empty human-park auto-shows Approve) + additive plan_review_role/plan_round/plan_cap fields
proto/provision/crewboss-doctor.sh	db1907f0ee3a76b14afb131a49fcf0bfa339c8b32931d0ddd17c0c25d1f4f3d5	legacy	Preflight health check; hard-fails on blockers with remediation hints; FAIL on missing invariants
reference/runtime/crewboss-launcher-gh.sh	96b1c949286ff36ee9f7ae6060d41b040f3033cf31ab24be3cb42985ebcb6ffa	canonical	CANONICAL launcher (GitHub-board, background-parallel, kill_switch run/kill_switch, R9 per-task proxy); → reference/runtime/ via #65; #68 kill-switch exit 42 (machine-readable); #89 CREWBOSS_CHARTER plannable scope; #87 CB_REWORK_SPAWN path selection for needs-rework leaves; #92 integrator cycle (merge review PRs, GREEN-BEFORE-MERGE); #93 charter-finale cycle (gate-charter + draft PR + CI checks); #106 integrator uses leaf/<rid>-<ts> headRefName prefix-match (not task/N); #113 liveness fix (_loop_is_alive includes review-leaves, stale-guard anti-livelock); #156 ancestor-check (merge-base) replaces b_sha!=m_sha: stale/diverged charter/C rejected by finale; #176 GREEN-BEFORE-MERGE via verify-merged (engine suite on merged tree), removes GHA statusCheckRollup polling (finding #6 closed); #136 manifest analysis stage: analysis-cycle (needs-plan→needs-analysis, analyst spawn), kind=analysis post-processing, _loop_is_alive needs-analysis/team-review liveness; #138 approval-gate: APPROVAL_SPAWN var, kind=approval post-processing, approval-cycle (HD-2 cost heuristic, idempotent human-decision, composition-parse auto-reject); #262 blast-radius gate: _serializing_charter helper + _block gate in plannable/launchable cycles (unscoped only; high charter serializes all other charter dispatches); #276 conflict-resolution cycle: CONFLICT_SPAWN var, kind=conflict-resolution post-processing (label-check success/retry/blocked), conflict-cycle (needs-conflict-resolution charters → git-resolver spawn); #422 queue head-calculation: plan-review non-terminal when plan_review_role set + plan:agreed absent (both cmd_once ~790 and cmd_run ~1017 sites); #423 dual-head (_q_head leaf-execution + _q_plan_head plan-conv) so plan-convergence gate advances independently of leaf execution in queue-mode; #444 gc-stale-leaves: close open type:agent leaves when plan-reviewer routes charter back to needs-plan (numsAfter numeric equality — charter #5 ≠ charter #50); #597 _tqg_cycle: test-quality gate (scoped execution only, bootstrap #193), status:test-broken/status:impl-broken routing signals, re-dispatch via status:needs-rework; #506 _q_loo_set: skip-aware lookahead eligibility set for analysis-cycle pipelining; replaces two head-only guards with set-membership checks (CB_QUEUE_LOOKAHEAD+1 window, default N=2); done|blocked|hold|deferred entries skipped in iteration; N=0 restores serial behaviour; #1290 triage crash-death survival: distinguish crash-death (session lifetime < CB_TRIAGE_MIN_LIFETIME) from deliberate no-verdict; crash-death retries with backoff up to CB_TRIAGE_RETRY_CAP (triage_n) before deferred/blocked, NEVER terminal on first death; triage_spawn_ts stamped at all triage spawn sites
proto/r5/crewboss-launcher.sh	eef78a95695afefa1404f0a39a16f631ae658282a14a43dcc12eca5ac56f82d8	legacy	R5 local-board launcher (historical epoch; reference/launcher/ has the Arch-2 variant — LEGACY)
reference/runtime/crewboss-loop-keepalive.sh	6316fd368e58634c3243a0954393b9d4c2de7ecd639561e71a404d11affd3208	canonical	Loop keepalive (systemd timer, single-tick): atomic liveness via run/launcher.pid + kill -0 (NOT pgrep), restart serialized under dedicated keepalive.lock flock, starts the loop THROUGH run-env.sh so launcher.lock is shared with operator run (root A); charter #1073 leaf #1098; HUMAN APPROVAL REQUIRED BEFORE DEPLOY
